"","X","B3","X18","X42","X22","X9","B1","X10","B8","X20","B7","C","X39","B11","X4","B10","X29","X2","B9","X19","B5","X33","X16","X40","D","X1","X17","B6","X3","X27","X12","X15","B4","X7","B2","X26","X13","X34","X32","X36","X35","X6","X5","X37","X23","B","X11","X28","X24"
"31","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Ruaniaceae",0,0,0,0,0,0,0.00108506944444444,0,0,0,0,0,0.000217013888888889,0,0,0,0,0,0,0,0.000868055555555556,0,0,0,0,0.000434027777777778,0,0,0,0,0,0,0.000651041666666667,0,0,0,0.000217013888888889,0,0.00260416666666667,0,0,0,0,0,0,0,0.000651041666666667,0
"32","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;NA",0,0,0,0,0,0,0,0,0,0,0.00390625,0,0.000217013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151909722222222,0,0,0,0,0,0,0,0,0,0,0,0,0.000434027777777778,0,0,0,0,0
"33","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae",0,0,0,0,0.000868055555555556,0,0,0,0.005859375,0,0,0,0,0,0,0,0,0.000217013888888889,0,0.000217013888888889,0,0,0,0,0,0,0,0,0.000868055555555556,0,0,0,0,0.00108506944444444,0,0,0,0,0.00108506944444444,0,0,0,0,0,0.005859375,0,0,0.00108506944444444
"34","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Propionibacteriaceae",0,0.000217013888888889,0,0.000434027777777778,0,0,0,0,0.00108506944444444,0,0.000217013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108506944444444,0,0,0
"35","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales;D_4__Pseudonocardiaceae",0.000217013888888889,0,0,0,0,0,0.000217013888888889,0.000217013888888889,0.00108506944444444,0,0,0.000217013888888889,0,0,0,0,0,0,0.00217013888888889,0,0.00108506944444444,0.00217013888888889,0,0,0,0,0.000868055555555556,0,0,0,0,0.000434027777777778,0.00390625,0.00130208333333333,0.000434027777777778,0.000217013888888889,0,0,0,0,0.000434027777777778,0.000217013888888889,0.000651041666666667,0.000434027777777778,0.000868055555555556,0,0.00347222222222222,0
"36","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae",0,0,0,0.000868055555555556,0,0,0,0,0.00151909722222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434027777777778,0,0,0,0,0,0,0.00151909722222222,0,0,0
"37","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales;D_4__Nocardiopsaceae",0.00499131944444444,0,0.00130208333333333,0.00282118055555556,0,0,0,0,0,0,0,0.001953125,0,0,0,0,0.000217013888888889,0.00108506944444444,0.00412326388888889,0,0,0.00499131944444444,0.000217013888888889,0,0,0,0,0,0,0,0,0.000434027777777778,0.000217013888888889,0,0.000651041666666667,0.000434027777777778,0,0,0,0,0.0078125,0,0.000651041666666667,0.00151909722222222,0,0,0.000217013888888889,0
"38","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae",0,0.000868055555555556,0,0,0.000868055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217013888888889,0,0,0,0.00151909722222222,0,0,0,0,0,0,0,0,0,0.000434027777777778,0,0,0,0,0,0,0,0.000868055555555556
"39","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae",0.000434027777777778,0,0,0.00542534722222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0
"40","D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__uncultured",0,0,0,0,0.00217013888888889,0.000217013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130208333333333
